username,repo_name,stars,repo_url
mrdoob,three.js,20.8k,https://github.com/mrdoob/three.js
libgdx,libgdx,20.8k,https://github.com/libgdx/libgdx
pmndrs,react-three-fiber,20.8k,https://github.com/pmndrs/react-three-fiber
BabylonJS,Babylon.js,20.8k,https://github.com/BabylonJS/Babylon.js
ssloy,tinyrenderer,20.8k,https://github.com/ssloy/tinyrenderer
aframevr,aframe,20.8k,https://github.com/aframevr/aframe
lettier,3d-game-shaders-for-beginners,20.8k,https://github.com/lettier/3d-game-shaders-for-beginners
FreeCAD,FreeCAD,20.8k,https://github.com/FreeCAD/FreeCAD
CesiumGS,cesium,20.8k,https://github.com/CesiumGS/cesium
metafizzy,zdog,20.8k,https://github.com/metafizzy/zdog
timzhang642,3D-Machine-Learning,20.8k,https://github.com/timzhang642/3D-Machine-Learning
isl-org,Open3D,20.8k,https://github.com/isl-org/Open3D
a1studmuffin,SpaceshipGenerator,20.8k,https://github.com/a1studmuffin/SpaceshipGenerator
blender,blender,20.8k,https://github.com/blender/blender
domlysz,BlenderGIS,20.8k,https://github.com/domlysz/BlenderGIS
FyroxEngine,Fyrox,20.8k,https://github.com/FyroxEngine/Fyrox
openscad,openscad,20.8k,https://github.com/openscad/openscad
google,model-viewer,20.8k,https://github.com/google/model-viewer
spritejs,spritejs,20.8k,https://github.com/spritejs/spritejs
jagenjo,webglstudio.js,20.8k,https://github.com/jagenjo/webglstudio.js
